#{"t_start": 1783500437.095454, "env_id": "None"}
r,l,t
-47.315102,27,0.681593
-51.10465,52,0.706605
-46.578901,38,0.727859
-46.379427,42,0.750489
-51.437089,57,0.773955
-50.818432,66,0.804072
-52.989924,54,0.82958
-48.536597,21,0.838962
-48.582749,13,0.845414
-44.295967,51,0.867071
-50.59745,53,0.889755
-51.025463,15,0.897581
-50.142376,34,1.166253
-51.318672,33,1.181001
-48.973147,53,1.204635
-47.26853,54,1.228701
-46.373359,58,1.254441
-43.563813,81,1.298257
-49.988423,42,1.318934
-49.841563,34,1.33383
-45.734961,166,1.630174
-50.438904,230,1.733221
-53.05997,264,2.056554
-48.627126,42,2.073762
-4.027464,300,2.206106
-51.138326,216,2.559313
0.845838,300,2.69235
-49.383795,234,3.014444
-2.874539,300,3.148449
106.298364,154,3.453961
3.517861,300,3.588858
106.331314,96,3.637826
2.213412,300,4.019444
-50.42647,127,4.073304
106.006636,220,4.397308
0.97513,300,4.535327
107.711853,117,4.587462
-46.458108,85,4.85669
106.235459,249,4.963653
107.462699,111,5.01303
107.317,189,5.327622
-1.020959,300,5.458782
107.562489,181,5.761147
2.437355,300,5.893772
105.495515,198,6.216878
4.741356,300,6.346538
106.902682,148,6.410152
3.761332,300,6.769551
106.316662,142,6.829637
2.902285,300,7.207212
106.54645,131,7.266137
106.852364,166,7.346012
106.434714,93,7.617672
107.725826,104,7.665198
106.471369,120,7.716605
-45.731087,56,7.741048
-50.450244,44,7.759229
106.460726,173,8.052379
4.888503,300,8.187447
107.530072,151,8.260119
108.901535,164,8.553854
106.960407,118,8.60533
3.98477,300,8.964219
106.690078,147,9.029206
-45.037413,258,9.142431
107.638625,118,9.426616
106.786397,116,9.480941
106.619349,84,9.515702
106.785397,102,9.561267
107.526235,146,9.626813
107.417758,113,9.902409
-44.079956,108,9.952387
-44.331837,108,9.999066
106.781236,83,10.034744
108.8001,122,10.308462
106.161154,147,10.374247
-43.540799,116,10.428362
107.3977,76,10.461429
107.314613,101,10.505471
107.148647,87,10.78479
108.624986,107,10.833064
106.772966,109,10.879928
106.3225,119,10.935653
-45.661919,102,10.984888
-45.785271,129,11.269349
108.446781,148,11.336226
106.353477,83,11.371728
105.98789,150,11.437159
107.164382,105,11.709092
106.615684,73,11.740821
-43.755311,89,11.778776
-44.118366,138,11.839463
105.70924,219,12.172716
107.025109,130,12.22683
108.91083,106,12.27487
106.976812,75,12.309321
107.155081,73,12.341906
107.106713,121,12.616056
108.523789,84,12.65484
106.724762,106,12.705131
106.815971,107,12.751839
108.343921,102,12.797814
-43.704357,95,13.080736
105.390847,246,13.213081
-43.735885,107,13.277809
107.086507,148,13.600381
108.201413,79,13.639941
-43.861229,107,13.688078
108.01024,83,13.723806
107.590424,64,13.753852
107.516328,99,13.800168
-43.907728,80,14.062089
108.216516,85,14.095421
107.012405,72,14.125371
107.102855,113,14.17473
108.89441,88,14.212816
107.532079,85,14.246202
-45.494279,43,14.488071
106.969813,132,14.546846
106.619988,88,14.585495
107.225039,95,14.623301
106.909079,80,14.654568
106.872802,74,14.685651
-44.271885,143,14.957867
106.50335,87,15.005737
106.809074,102,15.055091
106.922811,92,15.098448
107.016677,79,15.134022
107.595667,89,15.457657
106.693986,63,15.490544
107.742488,58,15.523338
-45.273086,80,15.568688
107.15303,63,15.60546
107.116276,72,15.643608
108.352681,67,15.674703
107.605042,73,15.997
106.656064,87,16.056061
107.044735,92,16.103816
106.546234,55,16.133771
-42.385076,94,16.177693
108.227605,63,16.219317
107.549764,126,16.615525
106.273952,54,16.640017
108.244716,79,16.683019
106.879331,70,16.716067
107.247595,67,16.752231
107.517487,97,16.80387
106.866464,78,16.851225
107.821107,62,17.183765
107.348736,64,17.21824
107.211268,64,17.253653
107.418886,66,17.283627
108.565611,73,17.319127
108.147671,68,17.35467
108.103917,53,17.386682
109.401533,77,17.42317
-43.938419,88,17.757639
106.87351,61,17.79772
107.297461,180,17.903104
107.635402,71,17.945091
106.550793,46,17.965087
107.436161,109,18.299869
106.913663,62,18.325838
107.009638,64,18.356776
106.586684,46,18.378629
106.743861,59,18.405564
-43.700246,66,18.441352
107.724816,68,18.479401
108.619371,60,18.508918
107.337355,62,18.542886
106.759653,81,18.964944
-42.708914,90,19.064268
107.07705,58,19.139129
106.644388,57,19.184404
109.551619,71,19.260561
-44.736942,103,19.415844
107.615245,56,19.478396
107.613216,61,20.41314
106.899953,57,20.472184
-43.830433,89,20.559092
107.027174,56,20.623071
108.955215,61,20.689496
107.001431,73,20.751849
107.755969,51,20.800444
107.459784,58,20.851834
106.832776,75,21.605075
107.162647,55,21.672286
108.08096,72,21.732462
-48.727895,7,21.736967
-43.38298,111,21.827966
106.653295,51,21.870758
106.561317,57,21.915871
-44.820723,92,21.998595
106.908475,54,22.63603
107.302377,43,22.683675
108.483147,61,22.755455
107.083054,53,22.812026
107.536449,65,22.884515
-45.467314,167,23.051501
107.791374,69,23.119162
107.725488,57,23.751206
107.303472,76,23.833803
107.801743,49,23.877003
109.109586,68,23.943358
106.643075,58,23.995738
107.527801,61,24.057027
108.408047,62,24.13067
107.902108,78,24.202516
106.796062,48,24.882345
107.088051,141,25.017089
107.386587,51,25.068436
107.018911,51,25.1048
107.278644,56,25.160081
106.9653,46,25.200682
107.204937,47,25.252105
106.828741,75,25.318306
106.522868,44,26.019708
107.438366,48,26.072544
108.448634,62,26.134747
107.090433,68,26.184267
106.776208,46,26.230726
110.228429,69,26.2691
107.592062,72,26.314331
108.288464,75,26.37001
107.857983,53,26.7138
107.308425,47,26.736947
-43.223797,61,26.775013
108.238584,65,26.807017
107.409543,55,26.833889
108.949006,61,26.865371
107.824709,73,26.89911
107.868423,58,26.929295
108.254769,54,26.958006
106.639596,40,27.245369
107.538641,103,27.297038
109.876174,66,27.330173
107.494798,46,27.357507
107.004711,50,27.388817
107.896915,55,27.416369
108.203595,62,27.449262
108.404904,70,27.482475
106.914644,53,27.752964
107.445885,53,27.777533
108.236875,62,27.805908
107.622278,76,27.841515
106.286396,40,27.864155
107.774683,79,27.902961
107.174171,49,27.925455
107.499186,51,27.950568
-42.924559,72,27.989208
107.445216,60,28.317688
107.063097,52,28.348403
108.997815,59,28.383667
107.019064,85,28.433324
108.764014,60,28.467281
107.706662,57,28.49514
109.304751,66,28.527661
109.182857,61,28.554653
107.751608,48,28.915481
107.986055,66,28.952554
107.125195,52,28.98641
107.79684,50,29.015284
106.873063,44,29.035688
106.767812,48,29.059275
106.662485,43,29.08412
106.96937,45,29.116986
108.163034,52,29.148353
-43.879913,60,29.178781
107.113662,50,29.498444
108.351079,63,29.531709
109.936976,71,29.567232
107.545509,44,29.589682
106.745697,58,29.621417
107.850427,62,29.656626
109.461046,79,29.699695
-43.898293,62,29.735944
107.561515,54,29.761641
107.89046,57,30.048241
108.136684,48,30.070898
107.673598,68,30.111075
107.330547,63,30.147912
107.128476,45,30.173095
107.166311,42,30.203317
107.126982,48,30.231808
107.72306,73,30.266273
108.691181,72,30.297874
107.272946,77,30.600864
107.628305,53,30.624768
107.718556,64,30.656546
-42.720114,57,30.684027
-43.312372,62,30.715578
107.011037,43,30.735005
108.143498,56,30.761931
-44.203316,92,30.813389
107.483545,43,31.081883
107.693666,51,31.106177
107.040237,48,31.129831
107.555215,43,31.150271
107.638223,52,31.174106
107.902749,80,31.22043
107.420162,76,31.264559
106.827294,119,31.34036
106.854617,43,31.719169
107.138239,59,31.748152
108.24261,50,31.770527
108.446709,56,31.79839
107.02484,48,31.821322
110.171545,62,31.854749
107.64056,48,31.877748
108.124463,48,31.90496
107.774973,49,31.934149
-43.43348,76,32.248038
107.051764,43,32.269221
107.002793,52,32.297616
107.433035,44,32.326254
107.960591,58,32.352937
108.055035,54,32.389887
